sex,bdate,city,groups_activities
м,,Нижний Новгород,"Кино; Издательский дом; Интернет-СМИ; Другая музыка; Наука; Кино; Юмор; Музыкальная группа; Образование; Дизайн и графика; Дизайн и графика; Рок; Дизайн и графика; Образование; Шоу, передача; Дискуссионный клуб; Дизайн и графика; Поиск работы; Образование; Видеоигра"
м,,Мытищи,"Анимация; Литература; Инди; Культура; Инди; Медицина; История; Публичная страница; Культура; Музыка; Другие товары; Интернет-СМИ; Другая музыка; Публичная страница; Музыкальная группа; Тексты, аккорды; Музыкант; Кафе, ресторан; Городское сообщество; Группа коллег"
м,25.12.1978,Новосибирск,Кино; Дизайн интерьера; Культурный центр; Товары для дома; Мобильные технологии; Творчество; Блогер; Интерьер; Игры; Городское сообщество; Творчество; Блогер; Здоровый образ жизни; Творчество; Информационный портал; Дизайн и графика; Дизайн и графика; Видеоигры; Юмор; Дизайн и графика
ж,,Рыбинск,
ж,,Владивосток,"Образование; Интернет-СМИ; Философия; Философия; Туризм, путешествия; Интернет-СМИ; Фильм; Дизайн интерьера; Другие хобби; Бизнес; Образование; Дизайн интерьера; Литература; Кулинария, рецепты; Творчество; Фотография; Кино; Творчество; Литература; Общество"
ж,1.2.1990,Красноярск,"Юмор; Городское сообщество; Юмор; Городское сообщество; Стиль, мода; Товары для животных; Интернет-СМИ; Стиль, одежда, обувь; Молодёжное движение; Юмор; Интернет-СМИ; Уход за собой; Домашние и дикие животные; Фотография; Фотография; Домашние и дикие животные; Творчество; Творчество; Городское сообщество; Городское сообщество"
м,27.6.1984,Москва,"Образование; Творчество; Мебель; Творчество; Образование; Активный отдых; Наука; Метал; Программное обеспечение; Наука; Наука; Музей, галерея, выставка; Творчество; Строительство, ремонт; Дизайн и графика; Культура; Кино; Творчество; Дизайн и графика; Творчество"
ж,7.8.1985,Новосибирск,"Интернет-СМИ; Городское сообщество; Кино; Юмор; Творчество; Туризм, путешествия; Фан-сообщество; Психология; Юмор; Юмор; Городское сообщество; Дом культуры; Кино; Дополнительное образование; Информационный портал; Образование; Театр; Творчество; Юмор; Творчество"
м,,Туапсе,Видеоигры; Городское сообщество; Юмор; Наука; Юмор; Доставка еды; История; Программирование; Политика; Образование; Видеоигры; Юмор; Программирование; Юмор; Наука; Образование; Программирование; Музыкальная группа; Философия; Юмор
ж,,Геленджик,Литература; Художник или художница; Дизайнер; Городское сообщество; Блогер; Дизайн и графика; Доставка еды; Художница; Школа; Писатель или писательница; Приложение; Художник; Дизайн и графика; Литература; Родители и дети; Школа; Дизайн и графика; Дизайн и графика; Детский сад; Литература
ж,,Москва,"Дизайн и графика; Поэтесса; Дизайнер; Фан-сообщество; Астрология, эзотерика; Дизайн и графика; Музыкант; Спортивная организация; Астрология, эзотерика; Дизайн и графика; Фан-сообщество; Приложение; Творчество; Философия; Дизайн и графика; Уход за собой; Творчество; Бизнес; Автоспорт; Уход за собой"
м,5.7.1989,Ярославль,"Видеоигры; Творчество; Творчество; Банк, финансовое учреждение; Образование; Стример; Видеоигра; Творчество; Интернет-СМИ; Общественный деятель; Видеоигры; Видеоигры; Кино; Домашние и дикие животные; История; Городское сообщество; Игры; Электроника; Видеоигры; Городское сообщество"
ж,,Симферополь,"Городское сообщество; Дискуссионный клуб; Городское сообщество; Городское сообщество; Туризм, путешествия; Юмор; Юмор; Домашние и дикие животные; Здоровый образ жизни; Городское сообщество; Информационный портал; Юмор; Городское сообщество; Домашние и дикие животные; Домашние и дикие животные; Домашние и дикие животные; Юмор; Юмор; Юмор; Юмор"
ж,30.5.1997,Екатеринбург,"Кино; Техника, электроника; Техника, электроника; Образование; Фестиваль; Юмор; Блог; Игры; Веб-студия; Кино; Игры; Интернет-СМИ; Программирование; Программирование; Видеоигры; Программирование; Интернет-СМИ; Электронная музыка; Наука; Творчество"
м,,Хабаровск,"Юмор; Шоу, передача; Другие хобби; Юмор; Дизайн-студия; Шоу, передача; Настольные игры; Знакомства; Кино; Юмор; Юмор; Юмор; Электроника; Юмор; Государственная организация; Юмор; Программирование; Образование; Юмор; Юмор"
ж,30.12.1972,Санкт-Петербург,Сайты; Образование; История; Творчество; Фотография; Салон красоты; Библиотека; Кино; Интернет-СМИ; Городское сообщество; Творчество; Интернет-СМИ; Литература; Кино; Городское сообщество; Издательский дом; Литература; Интернет-СМИ; Интернет-СМИ; Кино
м,24.4.1987,Иркутск,"Образование; Наука; Юмор; История; Игры, игрушки; Музей, галерея, выставка; Техника, электроника; Культурный центр; Юмор; Видеоигры; Наука; Видеоигры; Видеоигры; Страна; Культура; Общество; Творчество; Кино; Творчество; Туризм, путешествия"
м,11.8.1993,Москва,Программирование; Автотовары; Программирование; Программное обеспечение; Дизайн-студия; Программирование; Программное обеспечение; Дискуссионный клуб; Телеканал; Программирование; Программное обеспечение; Философия; Образование; Игры; Программирование; Программное обеспечение; Дизайн и графика; Дизайн и графика; Творчество; Дизайн и графика
ж,6.11.1993,Москва,"Дизайнер; Книга; Объявления; Религия; Дизайн и графика; Религия; Гостиница; Домашние и дикие животные; Писательница; Юмор; Продукты питания, напитки; Художница; Приложение; Гостиница; Гостиница; Гостиница; Литература; Юмор; Художник или художница; Литература"
м,11.1.1972,Нижний Новгород,"Интернет-СМИ; Интернет-СМИ; Образование; Творчество; История; Библиотека; Музыкальная группа; Творчество; Рок; Музыкальная группа; Творчество; Туризм, путешествия; Музыкальная группа; Культурный центр; Образование; Дизайн и графика; Кино; Поэтесса; Журналист; Финансы"
ж,13.6.1987,Рязань,"Школа; Государственная организация; Радиостанция; Фотограф; Творчество; Стиль, одежда, обувь; Творчество; Дизайн и графика; Творчество; Другие услуги; Поэтесса; Институт; Творчество; Религия; Обучающие курсы; Творчество; Культура; Предприниматель; Творчество; Художница"
ж,,Москва,"Кино; Фотография; Творчество; Творчество; Место отдыха; Культурный центр; Творчество; Дизайн и графика; Кино; Дизайн интерьера; Творчество; Кино; Творчество; Образование; Дизайн и графика; Наука; Творчество; Здоровый образ жизни; Туризм, путешествия; Кино"
м,,Москва,"Видеоигры; Видеоигры; Культура; Творчество; Спортивный клуб; Юмор; Спортивные товары; Фотография; Юмор; Игры, игрушки; Мотоциклы и другая мототехника; Печать, полиграфия; Спортивная организация; Юмор; Домашние и дикие животные; Видеоигра; Наука; Одежда, обувь; Кино; Домашние и дикие животные"
м,1.3.1985,,"Психология; Музей, галерея, выставка; Кино; Кинотеатр; Дизайн интерьера; Велосипеды; Автосалон; Активный отдых; Автовладельцы; Образование; Юмор; Активный отдых; Велосипеды; Мототехника; Литература; Фотография; Дизайн и графика; Автомобили; Творчество; Юмор"
ж,,Курган,"Анимация; Автомобили; Юмор; Городское сообщество; Анимация; Юмор; Психолог; Домашние и дикие животные; Обучающие курсы; Кино; Образование; Стиль, мода; Школа; Диеты, здоровое питание; Автомобили; Здоровый образ жизни; Городское сообщество; Игры; Дизайн интерьера; Комик"
ж,,Ижевск,"Городское сообщество; Астрология, эзотерика; Туристическое агентство; Городское сообщество; Доставка еды; Интернет-СМИ; Образование; Философия; Туры, экскурсии; Государственная организация; Юмор; Гостиница; Одежда, обувь; Юмор; Наука; Гостиница; Общество; Другая музыка; Продукты питания, напитки; Творчество"
м,20.3.1986,,Дизайн интерьера; Кино; Фильм; Кино; Кинотеатр; Кино; Кино; Кино; Кино; Спортивная организация; Кино; Кино; Кино; Кино; Творчество; Кино; Печатное издание; Кино
м,9.11.1979,Москва,
м,14.6.1981,Москва,"Видеоигры; Благотворительная организация; Видеоигры; Городское сообщество; Домашние и дикие животные; Блогер; Городское сообщество; Домашние и дикие животные; Анимация; Услуги для автовладельцев; Другие хобби; Видеоигры; Кино; Шоу, передача; История; Кино; Видеоигры; Домашние и дикие животные; Видеоигры; Общественный деятель"
м,15.9.1990,,"Приложение; Футбол; Фан-сообщество; Фан-сообщество; Фан-сообщество; Консалтинг, бизнес-услуги; Футбол; Блог; Производство контента; Дизайн и графика; Блогер; Дизайн и графика; Футбол; Бизнес; Приложение; Дом культуры; Обучающие курсы; Другие услуги; Образование; Консалтинг, бизнес-услуги"
ж,,,"Кино; Юмор; Юмор; Юмор; Литература; Юмор; Наука; Юмор; Кулинария, рецепты; Юмор; Юмор; Интернет-СМИ; Садоводство; Образование; Другая музыка; Родители и дети; Образование; Кулинария, рецепты; Юмор; Мобильные технологии"
м,1.9.1990,Саратов,Кино; Дизайн и графика; Образование; Творчество; Дизайн и графика; Дизайн и графика; Баскетбольная команда; Сайты; Баскетбол; Творчество; Дизайн и графика; Бизнес; Дизайн и графика; Бизнес; Дизайн и графика; Дизайн и графика; Видеоигра; Юмор; Дизайн и графика; Дизайн и графика
м,,Воронеж,"Городское сообщество; Домашние и дикие животные; Кино; Творчество; Кино; Домашние и дикие животные; Домашние и дикие животные; Фотография; Знакомства; Товары для животных; Университет; Фотография; Услуги для владельцев животных; Здоровый образ жизни; Городское сообщество; Юмор; Юмор; Творчество; Шоу-бизнес; Музей, галерея, выставка"
м,,Нижний Новгород,"Юмор; Наука; Бизнес; Банк, финансовое учреждение; Юмор; Юмор; Программирование; Наука; Диеты, здоровое питание; Философия; Программирование; Программирование; Храм; Здоровый образ жизни; Творчество; Здоровый образ жизни; Дизайн и графика; Общественная организация; Общественный деятель; Закрытое сообщество"
м,16.2.1982,Нижний Тагил,"История; Фотография; Видеоигры; Творчество; Интернет-СМИ; Культура; Программное обеспечение; Техника, электроника; Блог; Художница; Другие услуги; Электроника; Другие услуги; Автосервис; Обмен музыкой; Городское сообщество; Электроника; Другая музыка"
м,15.6.1983,Ставрополь,
ж,,,
м,,,
м,,,"Политика; Фотография; Наука; Творчество; Дизайн и графика; Интернет-СМИ; Обучающие курсы; Дизайн-студия; Производство, промышленность; Дизайн и графика; Художник; Музей, галерея, выставка; Творчество; Дизайн и графика; Одежда, обувь; Дом культуры; Дизайн и графика; Дизайн и графика; Дизайн и графика; Банк, финансовое учреждение"
м,15.10.1986,Самара,Интернет-СМИ; Интернет-СМИ; Дискуссионный клуб; Кино; Интернет-СМИ; История; Программирование; Программирование; Телеканал; Кино; Кино; Программное обеспечение; Городское сообщество; Программирование; Стример; Футбол; Программирование; Электронная музыка; Кино; Футбол
ж,4.9.1966,Оха,"Творчество; Образование; Здоровый образ жизни; Творчество; Дизайн и графика; Реклама; Другие хобби; Творчество; Творчество; Сайты; Кулинария, рецепты; Активный отдых; Образование; Объявления; Творчество; Творчество; Интерьер; Кулинария, рецепты; Отношения полов; Родители и дети"
м,9.1.1985,Новосибирск,
ж,,,"Фотография; Кино; Фотограф; Фотография; Фотограф; Фотография; Культура; Сериал; Художник; Фотография; Фотография; Творчество; Часы; Астрология, эзотерика; Программное обеспечение; Фотография; Фотография; Фото- и видеосъёмка; Недвижимость; Дизайн-студия"
м,,Хабаровск,
м,,,Юмор; Интернет-СМИ; Печатное издание; Городское сообщество; Наука; Ролевые игры; Юмор; Писатель; Активный отдых; Ролевые игры; Кино; Блог; Настольные игры; Ролевые игры; Активный отдых; Государственная организация; Активный отдых; Блог; Настольные игры; Игры
м,,Саратов,
м,,,
ж,,Москва,"Творчество; Художница; Творчество; Творчество; Творчество; Фан-сообщество; Кино; Юмор; Творчество; Культура; Культура; Домашние и дикие животные; Творчество; Стиль, одежда, обувь; Кино; Фотография; Юмор; Культурный центр; Бар, паб; Творчество"
м,30.5.1983,Санкт-Петербург,"Юмор; Юмор; Блог; Юмор; Дизайн интерьера; Юмор; Общественная организация; Юмор; Литература; Философия; Туризм, путешествия; Туризм, путешествия; Литература; Мобильные технологии; Бизнес; Творчество; ВКонтакте; Литература; Шоу, передача; История"
м,8.3.1992,Москва,
м,,Астрахань,
м,,Дубна,"Городское сообщество; Наука; Фотография; Образование; Блогер; Творчество; Продукты питания, напитки; Стиль, одежда, обувь; Автоспорт; Культура; Фото- и видеосъёмка; Доставка еды; Фото- и видеосъёмка; Фото- и видеосъёмка; Другая музыка; Культурный центр; Туризм, путешествия; Модельное агентство; Музей, галерея, выставка; Сайты"
м,,,
м,1.1.1920,Москва,"Фан-сообщество; Модель; Фотография; Фотография; Фотограф; Образование; Фотография; Шоу, передача; Фотография; Стиль, одежда, обувь; Другие хобби; Эротика; Видеоигры; Психология; Фотография; Видеоигры; Шоу, передача; Друзья; Фото- и видеосъёмка; Стиль, одежда, обувь"
м,,,
м,,Москва,"Кино; Кино; История; Юмор; Видеоигры; Кино; Творчество; Игры; Творчество; Интернет-СМИ; Культура; Дизайн и графика; Творчество; Образование; Юмор; Музыкальная группа; Поиск работы; Банк, финансовое учреждение; Культура; Игры"
ж,,Москва,"Электронная музыка; Фотография; DJ; Фотография; Культурный центр; Фотография; Приложение; Творчество; Инди; Фотография; Реклама; Фотография; Фотография; Фотография; Композитор; Психология; Фотография; Электронная музыка; Парфюмерия, косметика; Электронная музыка"
м,,,
ж,,Санкт-Петербург,
м,16.9.1988,Кемерово,"Юмор; Юмор; Видеоигры; Производство, промышленность; Спортивная организация; Юмор; Юмор; Интернет-СМИ; Музыкант; Видеоигры; Фан-сообщество; Квест; Молодёжное движение; Городское сообщество; Видеоигры; Юмор; Онлайн-игра; Интернет-СМИ; Юмор; Боевые искусства"
м,7.11.1981,Новосибирск,Творчество; Творчество; Фотография; Наука; Писатель; Культура; Творчество; Настольные игры; Художник; Культура; Кино; Дизайн и графика; Творчество; Писатель; Образование; Образование; Композитор; Юмор; Кино
м,,Москва,
м,,Москва,"Юмор; Кино; Юмор; Наука; Юмор; Юмор; Кулинария; Поэтесса; Юмор; Юмор; Общество; История; Спортивная организация; Философия; Автовладельцы; Юмор; Юмор; Юмор; Строительство, ремонт; Строительство, ремонт"
ж,,Киров,"Культура; Кино; Дизайн и графика; Блогер; Обучающие курсы; Блогер; Творчество; Интерьер; Дополнительное образование; Украшения, бижутерия ; Анимация; Творчество; Аптека, оптика; Городское сообщество; Музыкант; Приложение; Стиль, одежда, обувь; Школа; Творчество; Дизайн и графика"
м,21.9.2006,Самара,"Юмор; Дизайн-студия; Культура; Юмор; Творчество; Музей, галерея, выставка; Бизнес; История; Туризм, путешествия; Творчество; Общество; Творчество; Спортивные товары; Творчество; Творчество; Творчество; Образование; Общество; Городское сообщество; Фотография"
м,13.11.1991,Санкт-Петербург,
м,,Тюмень,"Доставка еды; Доставка еды; Доставка еды; Доставка еды; Доставка еды; Доставка еды; Доставка еды; Доставка еды; Доставка еды; Доставка еды; Игры; Доставка еды; Доставка еды; Доставка еды; Игры, игрушки; Доставка еды; Кафе, ресторан; Интернет-СМИ; Недвижимость; Книга"
м,29.9.1982,,
м,18.2.1991,Москва,"Юмор; Шоу, передача; Закрытое сообщество; Игры; Юмор; Здоровый образ жизни; Юмор; Товары для дома; Финансы; Юмор; Игры; Видеоигра; ВКонтакте; Творчество; Кино; Фотография; Видеоигры; Видеоигры; Компьютерная техника; Юмор"
м,18.10.1988,Мозырь,Наука; Видеоигры; Видеоигра; Кино; Кино; Видеоигры; Видеоигры; Игры; Юмор; Видеоигры; Дом культуры; Наука; Кино; Фотография; Блогер; Юмор; Блогер; Творчество; Фотография; Образование
ж,18.7.1989,Тюмень,
ж,,Москва,"Компьютерные услуги; Программное обеспечение; Безопасность; Поиск работы; Программное обеспечение; Программное обеспечение; Фан-сообщество; Стиль, мода; Производство контента; Бизнес; Стиль, одежда, обувь; Бизнес; Доставка еды; Интернет-СМИ; Юмор; Игры; Бизнес; Юмор; Дизайн и графика; Литература"
м,,Сусуман,"Юмор; Танцевальная музыка; Автомобили; Товары для дома; Автовладельцы; Строительство, ремонт; Юмор; Страна; Кино; Юмор; Другие хобби; Строительство, ремонт; Обмен музыкой; Строительство, ремонт; Друзья; Кулинария, рецепты; Наука; Уход за собой; Автовладельцы; Фото- и видеосъёмка"
ж,,,
м,,Самара,
ж,19.7.1990,,Интернет-СМИ; Здоровый образ жизни; Интерьер; Юмор; Творчество; Юмор; Отношения полов; Литература; Дизайнер; Культура; Наука; Художница; Кино; Настольные игры; Литература; Образование; Сайт; Интерьер; Дизайн интерьера; Обмен музыкой
м,,,"Другие хобби; Фестиваль; Фотография; Фотография; Кино; Театр; Творчество; Фотография; Фотография; Театр; Стример; История; Образование; Одежда, обувь; Объявления; Фото- и видеосъёмка; Архив; Культура; Поиск работы; Прокат"
м,9.5.1983,Миасс,"Программное обеспечение; Сайты; Программирование; Программное обеспечение; Городское сообщество; Программирование; Техника, электроника; Программирование; Техника, электроника; Городское сообщество; Программирование; Программирование; Программирование; Техника, электроника; Дискуссионный клуб; Программирование; Наука; Техника, электроника; Программирование; Объявления"
м,20.7.1991,Калининград,Философия; Программирование; Электронная музыка; Культура; Программное обеспечение; Программное обеспечение; Юмор; Юмор; Инди; Городское сообщество; Творчество; Кино; Образование; Электроника; Городское сообщество; Культура; Программирование; Обмен музыкой; Программирование; Фильм
м,,Самара,"Кино; Другие товары; Другие виды спорта; Фан-сообщество; Бизнес; Туризм, путешествия; Туризм, путешествия; Блогер; Кино; Туры, экскурсии; Интернет-СМИ; Спортивные товары; Публичная страница; Культура; Творчество; Туризм, путешествия; Активный отдых; Наука; Мотоциклы и другая мототехника; Культурный центр"
ж,,Санкт-Петербург,"Культура; Культура; Домашние и дикие животные; Культура; Книга; Творчество; Дом культуры; Туризм, путешествия; Зоопарк; Юмор; Художница; Творчество; Дизайн и графика; Культурный центр; Группа выпускников; Университет; Туризм, путешествия; Культурный центр; Творчество; Творчество"
ж,,,"Здоровый образ жизни; Бизнес; Юмор; Продукты питания, напитки; Музыкант; Творчество; Юмор; Юмор; Товары для дома; Музыкальная группа; Музыка; Астрология, эзотерика; Творчество; Юмор; Дизайн и графика; Дополнительное образование; Туры, экскурсии; Юмор; Rap, Hip-Hop; Культурный центр"
ж,,Киров,
ж,,Москва,"Дизайн и графика; Дизайн и графика; Объявления; Творчество; Творчество; Фотография; Фотография; Фотография; Фотография; Печать, полиграфия; Фотография; Творчество; Эротика; Творчество; Фотография; Фотография; Эротика; Дизайн интерьера; Фотография; Фотография"
м,21.8.1990,,Студия звукозаписи; Интернет-СМИ; Кино; Приложение; Интернет-СМИ; Видеоигры; Юмор; Городское сообщество; Фотография; Интернет-СМИ; Настольные игры; Здоровый образ жизни; Ролевые игры; Страна; Уход за собой; Гостиница; Гостиница; Другая музыка; Фотограф; Фото- и видеосъёмка
ж,,Оренбург,"Культурный центр; Городское сообщество; Театр; Государственная организация; Государственная организация; Дизайн-студия; Школа; Домашние и дикие животные; Городское сообщество; Блог; Дополнительное образование; Другие товары; Дополнительное образование; Знакомства; Блогер; Интернет-СМИ; История; Туризм, путешествия; Городское сообщество; Дизайн и графика"
м,,Москва,
м,,,Фотограф; Музыкальная группа; Художница; Видеоигры; Художница; Художница; Художник или художница; Вымышленный персонаж; Художница; Программное обеспечение; Художница; Анимация; Музыкант; Вымышленный персонаж; Художница; Творчество; Кино; Юмор; Дизайн и графика; Ветеринарная клиника
м,30.9.1990,Волгоград,"Бизнес; Программирование; Игры; Игровая студия; Программирование; Объявления; Техника, электроника; Программирование; Программирование; Наука; Техника, электроника; Программирование; Программирование; Программирование; Программирование; Видеоигры; Программирование; Образование; Мобильные технологии; Автомобили"
м,,Самара,"Юмор; Юмор; Знакомства; Юмор; ВКонтакте; Закрытое сообщество; Юмор; 1 июн 2024 в 12:00; Уход за собой; Юмор; Туризм, путешествия; Культурный центр; Блогер; Интернет-СМИ; Кино; Кино; Наука; Фотография; Сайты; Поиск работы"
ж,16.9.1993,Москва,"Образование; Родители и дети; Здоровый образ жизни; Юмор; Кино; Художница; Фотография; Творчество; Фотография; Творчество; Стиль, одежда, обувь; Кино; Государственная организация; Строительство, ремонт; Туризм, путешествия; Дизайн интерьера; Культурный центр; Творчество; Городское сообщество; Объявления"
ж,,,"Одежда, обувь; Юмор; Игры; Юмор; Туризм, путешествия; Юмор; Юмор; Блогер; История; Объявления; Юмор; Рок; Наука; Наука; Кино; Творчество; Кино; Юмор; Творчество; Кино"
м,,Санкт-Петербург,"Бизнес; Бизнес; Кафе, ресторан; Юмор; Товары для животных; Интернет-СМИ; Юмор; Дизайн и графика; Интернет-СМИ; Дискуссионный клуб; Бизнес; Бизнес; Дизайн и графика; Салон красоты; Приложение; Дизайн и графика; Дизайн и графика; Дизайн и графика; Творчество; ВКонтакте"
м,,Тюмень,"Парк отдыха; Баня, сауна; Кино; Строительные и ремонтные работы; Недвижимость; Блогер; Бизнес; Кино; Фотография; Кино; Молодёжное движение; Уход за собой; Творчество; Здоровый образ жизни; Видеоигры; Наука; Фильм; Другие услуги; Кулинария, рецепты; Консалтинг, бизнес-услуги"
м,6.6.1988,,
м,9.5.1990,Москва,"Юмор; Дискуссионный клуб; Интернет-СМИ; Интернет-СМИ; Игры, игрушки; Фан-сообщество; Юмор; Театр; Игры; Юмор; Юмор; Приложение; Юмор; Анимация; Медицина; Дискуссионный клуб; Образование; Кино; Критик; Общество"
м,3.10.1992,,"Здоровый образ жизни; Товары для дома; Футбольная команда; Культурный центр; Художник; Интернет-СМИ; Киберспортивная организация; Техника, электроника; Киберспортивная организация; Игры; Видеоигры; Стиль, одежда, обувь; Образование; Наука; Творчество; Дискуссионный клуб; Настольные игры; Настольные игры; Интернет-СМИ; Творчество"
м,,Москва,Обучающие курсы; Юмор; Дизайн интерьера; Дизайн и графика; Дизайн и графика; Культура; Наука; Фото- и видеосъёмка; Дизайн-студия; Программное обеспечение; Образование; Объявления; Программирование; Дизайн и графика; Творчество; Обучающие курсы; Программирование; Творчество; Дизайн и графика; Дизайн и графика
ж,,Калуга,Обучающие курсы; Реклама; Дизайнер; Дизайнер; Дизайнер; Обучающие курсы; Государственная организация; Общество; Дизайнер; Приложение; Дизайн и графика; Дизайн и графика; Дом культуры; Дизайнер; Дизайнер; Дизайн и графика; Веб-студия; Дизайн и графика; Дизайнер; Другие услуги
м,22.9.1983,,"Техника, электроника; Видеоигры; Образование; Общество; Художник; Другие товары; Литература; Творчество; Творчество; Эротика; Творчество; Культура; Творчество; Культура; Фотография; Дизайн и графика; Культура; Фотография; Дизайн и графика; Дизайн и графика"
ж,31.1.1986,Москва,"Творчество; Дизайн и графика; Юмор; Образование; Культура; Государственная организация; Творчество; Школа; Литература; Дизайн и графика; Библиотека; Культура; Образование; История; Творчество; Туризм, путешествия; Дизайн и графика; Языки; Языки; Дизайн и графика"
м,15.12.1985,Москва,
