sex,bdate,city,groups_activities
м,,Москва,"Танцы; Видеоигры; Танцы; Спортивная организация; Дискуссионный клуб; Печатное издание; Объявления; Игры; Автоспорт; Домашние и дикие животные; Видеоигры; Танцы; Спортивная организация; Танцы; Творчество; Интернет-СМИ; Техника, электроника; Видеоигры; Домашние и дикие животные; Видеоигры"
м,16.8.1985,Городец,"Кулинария, рецепты; Дизайн интерьера; Шоу, передача; Образование; Творчество; Наука; Дизайн интерьера; Кулинария, рецепты; Здоровый образ жизни; Кулинария, рецепты; Творчество; Кулинария, рецепты; Туризм, путешествия; Фотография; Юмор; Дизайн интерьера; Бизнес; Техника, электроника; Шоу, передача; Творчество"
ж,,,"Дизайнер; Дизайн и графика; Приложение; Дизайн и графика; Интернет-СМИ; Юмор; Приложение; Реклама; Дизайнер; Творчество; Дизайнер; Фото- и видеосъёмка; Художник; Обучающие курсы; Консалтинг, бизнес-услуги; ВКонтакте; Бизнес; Литература; Программное обеспечение; Доставка еды"
м,,Троицк,"Юмор; Образование; Фотография; Домашние и дикие животные; ВКонтакте; Программное обеспечение; ВКонтакте; Юмор; ВКонтакте; Интернет-СМИ; Интернет-СМИ; Интернет-СМИ; Интернет-СМИ; Шоу, передача; Футбол; Интернет-СМИ; История; Туризм, путешествия; Закрытое сообщество; Фотография"
м,,,"Кино; Литература; Фотография; Видеоигры; Кулинария, рецепты; Видеоигры; Видеоигры; Видеоигры; Видеоигры; Другая музыка; Наука; Творчество; Городское сообщество; Объявления; Писатель; Туризм, путешествия; Дискуссионный клуб; Образование; Фотография; Одежда, обувь"
м,24.3.1983,Красноярск,"Наука; Автотовары; Интернет-СМИ; Услуги для автовладельцев; Супермаркет; Электроника; Музыка; Интернет-СМИ; Городское сообщество; Приложение; Государственная организация; Городское сообщество; Строительство, ремонт; Школа; Государственная организация; Городское сообщество; Туризм, путешествия; Городское сообщество; Продукты питания, напитки; Образование"
м,,Москва,
м,25.11.1986,Новосибирск,"Юмор; Поиск работы; Дополнительное образование; Кафе, ресторан; Спортивная команда; Знакомства; Культура; Боевые искусства; Творчество; Здоровый образ жизни; Спортивная организация; Обучающие курсы; Дизайн интерьера; Юмор; Художница; Спортивный клуб; Модель; Боевые искусства; Фитнес; Видеоигры"
м,,Москва,
ж,,Москва,"Фотография; Видеоигры; Тату-салон; Интернет-СМИ; Интернет-СМИ; Бар, паб; Объявления; Дизайн интерьера; Дизайн интерьера; Блогер; Фотография; Городское сообщество; Интернет-СМИ; Парфюмерия, косметика; Стиль, одежда, обувь; Юмор; Интернет-СМИ; Салон красоты; Фотография; Интернет-СМИ"
м,20.8.1983,Иркутск,"Городское сообщество; Городское сообщество; Интернет-провайдер; Игры; Продукты питания, напитки; Соседи; Техника, электроника; Городское сообщество; Музей, галерея, выставка; Экстремальный спорт; Мобильные технологии; Кино; Детский сад; Автовладельцы; Наука; Фитнес-центр; Литература; Юмор; Творчество; Шоу, передача"
м,,Москва,Дом культуры; Творчество; Знакомства; Образование; Дизайн и графика; Дизайн и графика; Дизайн и графика; Дизайн и графика; Художник; Организация праздников; Дополнительное образование; Кино; Дизайн и графика; Писатель; Дизайн и графика; Творчество; Творчество; Спортивные товары; Тату-салон; Мототехника
м,,Волгоград,
ж,,Москва,
ж,,Санкт-Петербург,"Сайт; Фотография; Творчество; Художник или художница; Творчество; Зоопарк; Астрология, эзотерика; Творчество; Культура; Образование; Творчество; Художница; Фотограф; Дизайн и графика; Культура; Творчество; Дизайн и графика; Дизайн и графика; Художница; Художник или художница"
м,,Москва,
ж,,Москва,
м,,Санкт-Петербург,"Дизайн и графика; Тату-салон; Дизайн интерьера; Интернет-СМИ; Дизайн и графика; Интернет-СМИ; Городское сообщество; Бизнес; Наука; Дизайн-студия; Творчество; Игры; Электронная музыка; Наука; Дизайн и графика; Фотография; Строительство, ремонт; Туризм, путешествия; Кино; Организация"
м,,Красноярск,"Автомобили; Автотовары; Ночной клуб; Наука; Спортивная команда; Кафе, ресторан; Автомобили; Автомобили; Фотография; Туризм, путешествия; Автомобили; Дизайн и графика; Юмор; Бизнес; Интернет-СМИ; Автомобили; Мототехника; Лёгкая атлетика; Автовладельцы; Автовладельцы"
м,10.5.1989,Москва,
м,,,
ж,19.9.1989,Москва,Творчество; Фотография; Цветы; Интернет-СМИ; Фотография; Домашние и дикие животные; Городское сообщество; Творчество; Дизайн интерьера; Городское сообщество; Городское сообщество; Городское сообщество; Домашние и дикие животные; Творчество; Дискуссионный клуб; Общество; Городское сообщество; Литература; Творчество; Товары для творчества
м,26.3.1990,Москва,"Товары для творчества; Одежда, обувь; Музей, галерея, выставка; Культура; Дизайн и графика; Культурный центр; Стиль, одежда, обувь; Музыкальный лейбл; Религиозное учреждение; Художник или художница; Дизайнер; Дизайн и графика; Строительство, ремонт; Публичная страница; Стиль, одежда, обувь; Музыка; Одежда, обувь; Интернет-СМИ; Рок; Одежда, обувь"
м,6.9.1990,Санкт-Петербург,Интернет-СМИ; Студия звукозаписи; Интернет-СМИ; Юмор; Кино; Творчество; Городское сообщество; Игры; Интернет-СМИ; Фотография; Литература; Игры; Кино; Фотограф; Творчество; Видеоигра; Творчество; Анимация; Юмор; Культурный центр
м,,Москва,
ж,,Рязань,"ВКонтакте; Туризм, путешествия; Кино; Юмор; Кино; Юмор; Дизайн интерьера; Юмор; Здоровый образ жизни; Образование; Дизайн интерьера; Стиль, одежда, обувь; Юмор; Юмор; История; Литература; Юмор; Наука; Туризм, путешествия; Юмор"
м,,,"Шоу, передача; Тренинг, семинар; Культура; Институт; Творчество; Культура; Шоу, передача; Образование; Культура; Дизайн и графика; Кино; Стиль, мода; Наука; Творчество; Кино; Юмор; Наука; Кино; Культура; Юмор"
ж,18.6.1989,Минск,"Шоу, передача; Журналист или журналистка; Дизайн и графика; Страховая компания; Дизайн-студия; Туризм, путешествия; Дизайн и графика; Дизайн и графика; Уход за собой; Кино; Образование; Дизайн и графика; Дизайн и графика; Кино; Художник или художница; Веб-студия; Товары для праздников; Кино; Творчество; Творчество"
м,,Липецк,"Интернет-СМИ; Интернет-СМИ; Городское сообщество; Городское сообщество; Интернет-СМИ; Дизайн и графика; Городское сообщество; Юмор; Творчество; Программное обеспечение; Финансовые рынки; Фан-сообщество; Футбол; Дизайн и графика; Дизайн и графика; Образование; Садоводство; Юмор; Дизайн и графика; Музей, галерея, выставка"
м,,Воронеж,
м,,Москва,"Городское сообщество; Дом культуры; Фотография; Наука; Художница; Музыкальный лейбл; Творчество; Метал; Дизайн и графика; Наука; Вымышленный персонаж; Наука; Юмор; Творчество; Приложение; Блогер; Наука; Ветеринарная клиника; Строительные и ремонтные работы; Туризм, путешествия"
м,,Москва,"Наука; Банк, финансовое учреждение; Юмор; Юмор; Образование; Юмор; Юмор; Художник; Юмор; История; Кино; Юмор; Дом культуры; Фотография; Культура; Зоопарк; Обмен музыкой; Творчество; Юмор; Кино"
м,,,"Интернет-СМИ; Интернет-СМИ; Культура; Банк, финансовое учреждение; Литература; Юмор; Психолог; Приложение; Стиль, одежда, обувь; Домашние и дикие животные; Одежда, обувь; Стиль, одежда, обувь; История; Одежда, обувь; Онлайн-игра; Творчество; История; Творчество; Стиль, одежда, обувь; Блогер"
м,24.8.1987,Новосибирск,"Стиль, одежда, обувь; Дискуссионный клуб; Стиль, одежда, обувь; Комик; Дизайн и графика; Кино; Творчество; Программное обеспечение; Художница; Творчество; Художница; Музыкант; Музей, галерея, выставка; Писатель; Художница; Художница; Образование; Психология; Университет; Другая музыка"
м,,Омск,"Художник; Библиотека; Творчество; Школа; Художник; Творчество; Культурный центр; Общественный деятель; Музей, галерея, выставка; Товары для творчества; Архив; Творчество; Художница; Юмор; Общественное движение; Художница; Художник; Художница; Дизайн-студия; Интерьер"
м,,Москва,
ж,,Санкт-Петербург,"Образование; Кулинария, рецепты; Художница; Другие товары; Антиквариат; Кино; Дизайн-студия; Литература; Одежда, обувь; Товары для творчества; Отношения полов; Производство, промышленность; Строительство, ремонт; Блог; Туры, экскурсии; Туры, экскурсии; Кулинария, рецепты; Кулинария, рецепты; Другие хобби; Пошив и ремонт одежды"
м,,Ростов-на-Дону,Музыкальная группа; Творчество; Издательский дом; Дополнительное образование; Издательский дом; Театр; Музыкальная группа; Музыкальные инструменты; Музыкант; Метал; Книга; Видеоигры; Музыкант; Музыкальная группа; Наука; Публичная страница
ж,,Казань,"Интернет-СМИ; Дизайн и графика; Салон красоты; Бизнес; Бизнес; Стиль, мода; Наука; Одежда, обувь; Программирование; Дизайнер; Юмор; Дизайн и графика; Дизайн и графика; Творчество; Производство контента; Дизайн и графика; Дизайн и графика; Дизайн и графика; Кафе, ресторан; Автотовары"
м,,Ставрополь,Дом культуры; Видеоигры; Дизайн и графика; Городское сообщество; Настольные игры; Бизнес; Творчество; Культурный центр; Творчество; Дизайн и графика; Юмор; Городское сообщество; Юмор; Городское сообщество; Городское сообщество; Настольные игры; Сайты; Дизайн и графика; История; Культура
м,,Владимир,"Юмор; Автовладельцы; Автовладельцы; Автотовары; Автотовары; Автомобили; Программирование; Программирование; Программирование; Автовладельцы; Автовладельцы; Автомобили; Программирование; Программирование; Объявления; Рок; Туры, экскурсии; Услуги для автовладельцев; Автошкола; Автосервис"
м,,Минск,"Другая музыка; Электронная музыка; Городское сообщество; Автомобили; Электронная музыка; Юмор; Концертный зал; Танцевальная музыка; Культура; Туризм, путешествия; Другая музыка; Дом культуры; Творчество; Интернет-СМИ; Концертный зал; Фотография; Другая музыка; Вымышленный персонаж; Музыка; Фотография"
ж,,Краснодар,"Родители и дети; Программирование; Стиль, одежда, обувь; Культурный центр; Дизайн и графика; Программирование; Культура; Культурный центр; Фотография; Техника, электроника; Творчество; Программирование; Программирование; Творчество; Культурный центр; Дискуссионный клуб; Юмор; Украшения, бижутерия ; Сайт; Хостинг, регистрация доменов"
м,,Северск,"Общественный деятель; Политика; Университет; Другие товары; Городское сообщество; Литература; Кулинария, рецепты; Культура; Активный отдых; Одежда, обувь; Юмор; Другие товары; Юмор; История; Юмор; Творчество; Блог; Общество; Активный отдых; Другие товары"
ж,16.11.1992,Москва,
м,14.12.1985,Ставрополь,"Производство, промышленность; Музыка; Организация праздников; Закрытое сообщество; Домашние и дикие животные; Образование; Творчество; Творчество; Интернет-СМИ; Музыкальная группа; Культура; Техника, электроника; Юмор; Юмор; Туризм, путешествия; Приложение; Юмор; Юмор; Домашние и дикие животные; Музыка"
ж,23.8.1987,Пенза,
м,,Екатеринбург,"Юмор; Дополнительное образование; История; Бизнес; Родители и дети; Юмор; Образование; Творчество; Юмор; Автовладельцы; Дом культуры; Дизайн и графика; Творчество; Дизайн-студия; Книга; Творчество; Одежда, обувь; Творчество; Отношения полов; Блогер"
м,8.3.1983,Калининград,"Ролевые игры; Домашние и дикие животные; Юмор; Культурный центр; История; Философия; История; Электронная музыка; Писатель; Творчество; Юмор; Творчество; Творчество; Кино; Городское сообщество; Фотография; Астрология, эзотерика; Юмор; Юмор; Юмор"
м,,Санкт-Петербург,"Певица; Военное дело; Общество; Отношения полов; Место отдыха; Автовладельцы; Сайты; Фото- и видеосъёмка; Дизайн интерьера; Дизайн интерьера; Сайты; Садоводство; Политика; Бизнес; Фотография; Юмор; Объявления; Городское сообщество; Туризм, путешествия; Недвижимость"
м,,Минск,"Юмор; Юмор; Творчество; Дискуссионный клуб; Фотография; Объявления; Фотография; Интернет-СМИ; Стиль, одежда, обувь; Творчество; Стиль, одежда, обувь; Киберспортивная организация; Юмор; Стиль, одежда, обувь; Фотография; Творчество; Стиль, мода; Фотография; Компьютерная техника; Фотография"
ж,13.9.1991,Петропавловск-Камчатский,"Юмор; Юмор; Литература; Юмор; Общественная организация; Юмор; Программирование; Юмор; Юмор; Юмор; Юмор; Юмор; Юмор; Юмор; Юмор; Украшения, бижутерия ; Юмор; Художник или художница; Юмор; Общественная организация"
ж,,Москва,"Родители и дети; Обучающие курсы; Дискуссионный клуб; Программное обеспечение; Дизайнер; Дизайн и графика; Туризм, путешествия; Дизайн и графика; Кино; Автомобили; Туризм, путешествия; Бизнес; Кино; Бизнес; Туры, экскурсии; Приложение; Дизайн и графика; Дизайн и графика; Дизайн и графика; Дизайн и графика"
ж,9.5.1978,Москва,"Интернет-СМИ; Интернет-СМИ; Городское сообщество; Соседи; Соседи; Интернет-СМИ; Домашние и дикие животные; Уход за собой; Культурный центр; Музыкальная группа; Уход за собой; Приложение; Стиль, мода; Культура; Юмор; Творчество; Туризм, путешествия; Творчество; Стиль, мода; Юмор"
ж,30.11.1988,Санкт-Петербург,"Юмор; Домашние и дикие животные; Юмор; Юмор; Общество; Юмор; Интернет-СМИ; Домашние и дикие животные; Городское сообщество; Фотография; Домашние и дикие животные; Городское сообщество; Городское сообщество; Городское сообщество; Туризм, путешествия; Домашние и дикие животные; Фотография; Закрытое сообщество; Страна; Кулинария, рецепты"
м,15.8.1988,Алматы,"Юмор; Юмор; Творчество; Дизайн интерьера; Общественная организация; Обмен музыкой; Юмор; Образование; Философия; Философия; Футбол; Туризм, путешествия; Музыкант; Юмор; Астрология, эзотерика; Творчество; Обмен музыкой; Мобильные технологии; Музыкант; Бизнес"
м,8.6.1988,Москва,"Шоу, передача; Кафе, ресторан; История; Продукты питания, напитки; Видеоигра; Банк, финансовое учреждение; Rap, Hip-Hop; Футбольная команда; Кино; Государственная организация; Рок; Видеоигры; Компьютерная техника; Музыкальная группа; Блог; Юмор; Приложение; Футбол; Видеоигра; Наука"
м,,Рязань,
ж,,Новосибирск,"Творчество; Философия; Здоровый образ жизни; Творчество; Юмор; Учёный, преподаватель; Библиотека; Творчество; Психолог; Образование; Творчество; Кулинария; Образование; ВКонтакте; Культурный центр; Садоводство; Кафе, ресторан; Культурный центр; Городское сообщество; Парфюмерия, косметика"
м,20.2.1989,Каменск-Уральский,Юмор; Юмор; Бизнес; Литература; История; Кино; Юмор; Творчество; Литература; Городское сообщество; Культура; Театр; Творчество; Театр; Интернет-СМИ; Юмор; Творчество; Анимация; Театр; Культура
ж,,Санкт-Петербург,"Религиозное учреждение; Шоу, передача; Дизайн и графика; Дизайнер; Дизайнер; Дизайнер; Финансы; Кино; Дизайн и графика; Культура; Образование; Одежда, обувь; Банк, финансовое учреждение; Шоу, передача; Дизайн и графика; Обучающие курсы; Студия звукозаписи; Кино; Фан-сообщество; Дизайн и графика"
м,,,
м,,,Футбольная команда; Юмор; Фан-сообщество; Футбол; Футбол; История; Футбол; Радиостанция; Другие виды спорта; Юмор; Кино; Автомобили; Творчество; Фан-сообщество; Кино; Видеоигры; Юмор; Интернет-СМИ; Творчество; Автомобили
м,,Новосибирск,Городское сообщество; Городское сообщество; Городское сообщество; Общество; Обучающие курсы; Приложение; Дискуссионный клуб; Военное дело; Производство контента; Другие товары; Бизнес; Интернет-СМИ; Городское сообщество; Городское сообщество; Творчество; Приложение; Государственная организация; Бизнес; Интернет-СМИ; Творчество
м,2.12.1986,,
м,,Боровичи,"Кулинария; Интернет-СМИ; Туризм, путешествия; Языки; Шоу, передача; Культурный центр; Кино; Городское сообщество; Техника, электроника; Творчество; Интернет-СМИ; Фотография; Кино; Другая музыка; Фотография; Культура; Закрытое сообщество; Дизайн и графика; Образование; Стиль, одежда, обувь"
м,7.7.1988,Астрахань,"Бизнес; Дизайн и графика; Наука; Туризм, путешествия; Дизайн и графика; Образование; Фотография; Юмор; Отношения полов; Наука; Кино; Культура; Культура; Творчество; Строительство, ремонт; Рыбалка; Творчество; Литература; Культура; Интерьер"
м,2.5.1976,Воронеж,Спортивная организация; Городское сообщество; Юмор; Группа коллег; Наука; Другая музыка; Место отдыха; Сайты; Здоровый образ жизни; Приложение; Интернет-СМИ; Интернет-СМИ; Художник или художница; Образование; Приложение; Творчество; Игры; Книга; Видеоигры; Юмор
м,,Москва,
ж,26.11.1990,Санкт-Петербург,"Спортивная одежда и обувь; Фотограф; Бизнес; Интернет-СМИ; Интернет-СМИ; Образование; Фото- и видеосъёмка; Режиссёр, продюсер; Одежда, обувь; Стиль, мода; Отношения полов; Детский сад; Гостиница; Интернет-СМИ; Фитнес-центр; Здоровый образ жизни; Юмор; Городское сообщество; Медицина; Фитнес"
м,,Ko Pha-ngan,"Юмор; Юмор; Творчество; Юмор; Наука; Психология; Другая музыка; Литература; Юмор; Наука; Дискуссионный клуб; Образование; Объявления; Юмор; Банк, финансовое учреждение; Юмор; Фан-сообщество; Туризм, путешествия; Наука; Дизайн и графика"
м,28.5.1975,Москва,"Фотография; Бизнес; Фотография; Образование; Литература; Фотография; Танцы; Фотография; Реклама; Образование; Юмор; Общество; Наука; Туризм, путешествия; Наука; Образование; Дизайн и графика; Образование; Фото- и видеосъёмка; Литература"
м,9.5.1987,Пестрецы,Электронная музыка; Образование; История; Творчество; Музыкальная группа; DJ; Электронная музыка; DJ; Активный отдых; Философия; Наука; Другие товары; DJ; Юмор; Электронная музыка; Культура; Видеоигры; Персонаж; Программное обеспечение; Музыкант
м,,Пермь,
м,,Хабаровск,
м,,,"Городское сообщество; Городское сообщество; Образование; Архив; Городское сообщество; Наука; Фотография; Военное дело; Блог; Юмор; Юмор; Юмор; Дизайн и графика; Юмор; Музей, галерея, выставка; Культура; Юмор; Творчество; Психология; Дизайн и графика"
ж,,Белгород,Дизайн и графика; Салон красоты; Литература; Городское сообщество; Городское сообщество; Художница; Дизайн и графика; Дизайн и графика; Дизайн интерьера; Художница; Литература; Стример; Дизайн интерьера; Кино; Художница; Писатель или писательница; Блогер; Цветы; Творчество; Дизайн интерьера
ж,,,"Одежда, обувь; Образование; Литература; Зоопарк; Родители и дети; Общественная организация; Блог; Художница; Юмор; Образование; Интернет-СМИ; Культура; Дизайнер; Дизайн и графика; Творчество; Юмор; Художница; Фотография; Дизайн и графика"
ж,,Пермь,"Литература; Юмор; Блогер; Шоу, передача; Образование; Обмен музыкой; Сайты; Музыкальная группа; Творчество; Производство контента; Стиль, одежда, обувь; Бар, паб; Торговый центр; Музыкант; Общественный деятель; Рок; Музыкальная группа; Другая музыка; Литература; Городское сообщество"
м,20.5.1984,New York City,"ВКонтакте; Юмор; Дизайн интерьера; Программное обеспечение; Юмор; Шоу, передача; Интернет-СМИ; Творчество; Банк, финансовое учреждение; Культурный центр; Творчество; Юмор; Кино; Творчество; Творчество; Классическая музыка; Дом культуры; Творчество; Государственная организация; Туризм, путешествия"
м,5.9.1991,,"Банк, финансовое учреждение; Видеоигры; Юмор; Интернет-СМИ; Видеоигра; Кино; Компьютерная техника; Видеоигры; Блогер; Компьютерная техника; Дизайн и графика; Кинотеатр; Блогер; Видеоигры; Кино; Компьютерная техника; Электроника; Наука; Производство, промышленность; Художница"
ж,11.8.1983,Челябинск,"Уход за собой; Юмор; Наука; Реклама; Дополнительное образование; Творчество; Писательница; Приложение; Телеканал; Дизайн и графика; Поиск работы; Дополнительное образование; Бизнес; Языки; Приложение; Дизайн и графика; Дизайн и графика; Стиль, мода; Парфюмерия, косметика; Родители и дети"
м,,Чебоксары,Программирование; Недвижимость; Программирование; Программирование; Музыкант; Программное обеспечение; Программирование; Программирование; Блогер; Программное обеспечение; Программирование; Программирование; Мобильные технологии; Интернет-СМИ; Образование; Программное обеспечение; Программирование; Программирование; Благотворительность; Программирование
ж,,Лобня,"Городское сообщество; Городское сообщество; Государственная организация; Фотография; Обучающие курсы; Государственная организация; Управляющая компания; Государственная организация; Государственная организация; Художница; Фотография; Туризм, путешествия; Творчество; Творчество; Юридические услуги; Дизайн интерьера; Кино; Фото- и видеосъёмка; Фотография; Фото- и видеосъёмка"
м,,Иркутск,Городское сообщество; Видеоигры; Игры; Группа коллег; Видеоигра; Образование; Эротика; Культура; Игровая студия; Боевые искусства; Городское сообщество; Образование; Автомобили; История; Интернет-СМИ; Блог; Другие виды спорта; Фотография; Военное дело; Военное дело
м,21.5.1986,Минск,"Объявления; Творчество; Наука; Дизайн и графика; Юмор; Юмор; Общественная организация; Наука; Творчество; Родители и дети; Кино; Наука; Дизайн интерьера; Юмор; Туризм, путешествия; Общество; Автовладельцы; Лекарственный препарат; Юмор; Наука"
м,,,"Объявления; Фотография; Творчество; Соседи; Кино; Кино; Музей, галерея, выставка; Анимация; Программирование; Юмор; Культура; Культура; Дизайн и графика; Культура; Актёр или актриса; Творчество; Творчество; Книжный магазин; Творчество; Юмор"
м,,Симферополь,"Фотография; Вымышленный персонаж; Косметология; Творчество; Государственная организация; Юмор; Товары для дома; Творчество; Юмор; Общественный деятель; Юмор; Кино; Техника, электроника; Музыкальная группа; Строительные материалы, инструменты; Туризм, путешествия; Образование; Товары для дома; Наука; Другая музыка"
м,,,
м,,Новосибирск,
м,5.5.1985,Санкт-Петербург,
м,,Санкт-Петербург,"Городское сообщество; Интернет-СМИ; Литература; Доставка еды; Производство контента; ВКонтакте; Другие товары; Дизайн-студия; Культурный центр; Бизнес; Реклама; Дискуссионный клуб; Дискуссионный клуб; Танцы; Государственная организация; Астрология, эзотерика; Психология; Бизнес; Rap, Hip-Hop; Электронная музыка"
м,26.8.1920,Звенигород,"Юмор; Дизайн и графика; Товары для творчества; Оборудование; Мототехника; Дизайн и графика; Производство, промышленность; Творчество; Оборудование; Мотоциклы и другая мототехника; Фото- и видеосъёмка; Другие товары; Дизайн и графика; Творчество; Автосервис; Мототехника; Дизайн и графика; Мотоциклы и другая мототехника; Дизайн и графика; Дизайн и графика"
м,,Уфа,
м,21.7.1990,Саратов,Музыка; Юмор; Интернет-СМИ; Интернет-СМИ; Образование; Кино; Другая музыка; Фото- и видеосъёмка; Фотография; Интернет-СМИ; Творчество; Философия; Городское сообщество; Культурный центр; Образование; Фотография; Культурный центр; Спортивные товары; Фотография; Фотограф
м,6.8.1985,Гродно,
м,,,"Образование; Художник или художница; Медицина; Другие хобби; Образование; Образование; Обучающие курсы; Музей, галерея, выставка; Блогер; Вымышленный персонаж; Образование; Программирование; Наука; Образование; Творчество; Электронная музыка; Творчество; Дизайн и графика; Образование; Игры"
